Publication_year,Research_group_UPC,ID_article
"(2009, 2012]",CTTC - Centre Tecnologic de la Transferencia de Calor,29
"(2009, 2012]",VIS - Visio Artificial i Sistemes Intel?ligents,29
"(2018, 2021]",SPCOM - Grup de Recerca de Processament del Senyal i Comunicacions,29
"(2015, 2018]",TN - Grup de Recerca en Teoria de Nombres,29
"(2012, 2015]",KEMLG - Grup d'Enginyeria del Coneixement i Aprenentatge Automatic,29
"(2012, 2015]",HIPICS - Grup de Circuits i Sistemes Integrats d'Altes Prestacions,29
"(2015, 2018]",GNOM - Grup d'Optimitzacio Numerica i Modelitzacio,29
"(2012, 2015]",POL - Polimers Industrials Avancats i Biopolimers Tecnologics,28
"(2012, 2015]",GRTJ - Grup de Recerca en Teoria de Jocs,28
"(2009, 2012]",CSC - Components and Systems for Communications Research Group,28
"(2015, 2018]",GRTJ - Grup de Recerca en Teoria de Jocs,28
"(2015, 2018]",ICARUS - Intelligent Communications and Avionics for Robust Unmanned Aerial Systems,28
"(2018, 2021]",SOCO - Soft Computing,28
"(2009, 2012]",GRCM - Grup de Recerca en Comunicacions Mobils,28
"(2015, 2018]",GAECE - Grup d'Accionaments Electrics amb Commutacio Electronica,27
"(2015, 2018]",GOAPI - Grup d'Optica Aplicada i Processament d'Imatge,27
"(2009, 2012]",ISG - Grup de Seguretat de la Informacio,27
"(2012, 2015]",GReCEF- Grup de Recerca en Ciencia i Enginyeria de Fluids,27
"(2009, 2012]",SPCOM - Grup de Recerca de Processament del Senyal i Comunicacions,27
"(2018, 2021]",POL - Polimers Industrials Avancats i Biopolimers Tecnologics,27
"(2018, 2021]",UMA - Unitat de Mecanitzacio Agraria,27
"(2018, 2021]",LEAM - Laboratori d'Enginyeria Acustica i Mecanica,27
"(2018, 2021]",INSIDE - Innovacio en Sistemes per al Disseny i la Formacio a l'Enginyeria,27
"(2009, 2012]",CNDS - Xarxes de Computadors i Sistemes Distribuits,27
"(2015, 2018]",WNG - Grup de xarxes sense fils,26
"(2015, 2018]","AIEM - Arquitectura, energia i medi ambient",26
"(2012, 2015]",CELBIOTECH - Grup de Recerca: Enginyeria Paperera,26
"(2009, 2012]",EPIC - Energy Processing and Integrated Circuits,26
"(2015, 2018]",GRAA - Grup de Recerca en Analisi Aplicada,26
"(2018, 2021]",ANTENNALAB - Grup d'Antenes i Sistemes Radio,26
"(2018, 2021]",VIS - Visio Artificial i Sistemes Intel?ligents,26
"(2018, 2021]",RFEMC - Grup de Radiofrequencia i Compatibilitat Electromagnetica en Xarxes de Comunicacions,26
"(2012, 2015]",SISCOM - Smart Services for Information Systems and Communication Networks,26
"(2018, 2021]",ACES - Control Avancat de Sistemes d'Energia,26
"(2012, 2015]",GIIP - Grup de Recerca en Enginyeria de Projectes: Disseny i Sostenibilitat,26
"(2018, 2021]",GRO - Grup de Recerca en Organitzacio,26
"(2018, 2021]",MICROTECH LAB - Microtechnology for the Industry,25
"(2015, 2018]",GREC - Grup de Recerca en Enginyeria del Coneixement,25
"(2018, 2021]",CNDS - Xarxes de Computadors i Sistemes Distribuits,25
"(2012, 2015]",gAGE - Grup d'Astronomia i Geomatica,25
"(2015, 2018]",CPSV - Centre de Politica de Sol i Valoracions,25
"(2018, 2021]",SISCOM - Smart Services for Information Systems and Communication Networks,25
"(2012, 2015]",GRHCT - Grup de Recerca d'Historia de la Ciencia i de la Tecnica,25
"(2012, 2015]",ISG - Grup de Seguretat de la Informacio,25
"(2015, 2018]",GIIP - Grup de Recerca en Enginyeria de Projectes: Disseny i Sostenibilitat,25
"(2009, 2012]",FLUMEN - Dinamica Fluvial i Enginyeria Hidrologica,25
"(2012, 2015]",LRG - Lightning Research Group,25
"(2012, 2015]",TECNOFAB - Grup de Recerca en Tecnologies de Fabricacio,25
"(2018, 2021]",LRG - Lightning Research Group,25
"(2009, 2012]",SIC - Sistemes Intel?ligents de Control,25
"(2018, 2021]",FOTONICA - Grup de Recerca de Fotonica,25
"(2012, 2015]",DCG - Discrete and Combinatorial Geometry,25
"(2009, 2012]","ViRVIG - Grup de Recerca en Visualitzacio, Realitat Virtual i Interaccio Grafica",25
"(2012, 2015]",SCL-EG - Sistemes de Control Lineals: estudi Geometric,25
"(2012, 2015]",GRAA - Grup de Recerca en Analisi Aplicada,25
"(2015, 2018]",SPCOM - Grup de Recerca de Processament del Senyal i Comunicacions,25
"(2009, 2012]",GPI - Grup de Processament d'Imatge i Video,25
"(2009, 2012]",CERTEC - Centre d'Estudis del Risc Tecnologic,25
"(2018, 2021]","RF&MW - Grup de Recerca de sistemes, dispositius i materials de RF i microones",25
"(2009, 2012]","RF&MW - Grup de Recerca de sistemes, dispositius i materials de RF i microones",24
"(2012, 2015]",EnGeoModels - Monitoring and Modelling in Engineering Geology,24
"(2015, 2018]",CDIF - Centre de Diagnostic Industrial i Fluidodinamica,24
"(2015, 2018]",SIR - Service and Industrial Robotics,24
"(2018, 2021]",L'AIRE - Laboratori Aeronautic i Industrial de Recerca i Estudis,24
"(2015, 2018]",SOCO - Soft Computing,24
"(2012, 2015]",GRCM - Grup de Recerca en Comunicacions Mobils,24
"(2009, 2012]",CGA - Computational Geometry and Applications,24
"(2018, 2021]","AR.I.EN - Arquitectura, Industria i Enginyeria",24
"(2015, 2018]",SCL-EG - Sistemes de Control Lineals: estudi Geometric,24
"(2009, 2012]",MATCAR - Materials de Construccio i Carreteres,24
"(2009, 2012]",ICARUS - Intelligent Communications and Avionics for Robust Unmanned Aerial Systems,24
"(2018, 2021]",BIOSPIN - Biomedical Signal Processing and Interpretation,24
"(2012, 2015]",CRAHI - Centre de Recerca Aplicada en Hidrometeorologia,24
"(2015, 2018]",SEER - Sistemes Electrics d'Energia Renovable,24
"(2009, 2012]",InSup - Grup de Recerca en Interaccio de Superficies en Bioenginyeria i Ciencia dels Materials,24
"(2018, 2021]",SUMMLab - Sustainability Measurement and Modeling Lab,24
"(2018, 2021]",ENMA - Enginyeria del Medi Ambient,24
"(2012, 2015]",ANTENNALAB - Grup d'Antenes i Sistemes Radio,24
"(2012, 2015]",ROBiri - Grup de Robotica de l'IRI,24
"(2009, 2012]",VIRTUOS - Virtualisation and Operating Systems,24
"(2012, 2015]",BAMPLA - Disseny i Avaluacio de Xarxes i Serveis de Banda Ampla,24
"(2018, 2021]",CERTEC - Centre d'Estudis del Risc Tecnologic,24
"(2009, 2012]",gAGE - Grup d'Astronomia i Geomatica,24
"(2012, 2015]",GAA - Grup d'Astronomia i Astrofisica,24
"(2009, 2012]",ANiComp - Analisi numerica i computacio cientifica,24
"(2012, 2015]",BIOGAP - Grup de Tractament Biologic de Contaminants Gasosos i Olors,24
"(2015, 2018]",GRHCT - Grup de Recerca d'Historia de la Ciencia i de la Tecnica,24
"(2018, 2021]",TUAREG - Turbulence and Aerodynamics in Mechanical and Aerospace Engineering Research Group,24
"(2009, 2012]",LRG - Lightning Research Group,24
"(2018, 2021]",REARQ - Rehabilitacio i Restauracio Arquitectonica,24
"(2012, 2015]",SPCOM - Grup de Recerca de Processament del Senyal i Comunicacions,24
"(2018, 2021]",BIOART - BIOsignal Analysis for Rehabilitation and Therapy,23
"(2015, 2018]",CNDS - Xarxes de Computadors i Sistemes Distribuits,23
"(2015, 2018]",FLUMEN - Dinamica Fluvial i Enginyeria Hidrologica,23
"(2015, 2018]",EGEO - Enginyeria Geomatica,23
"(2018, 2021]",GRHCT - Grup de Recerca d'Historia de la Ciencia i de la Tecnica,23
"(2009, 2012]",GAA - Grup d'Astronomia i Astrofisica,23
"(2009, 2012]",GILDA - Grup per a la Innovacio i la Logistica Docent en Arquitectura,23
"(2018, 2021]",GIIP - Grup de Recerca en Enginyeria de Projectes: Disseny i Sostenibilitat,23
"(2009, 2012]","LARCA - Laboratori d'Algorismia Relacional, Complexitat i Aprenentatge",23
"(2009, 2012]",BIOART - BIOsignal Analysis for Rehabilitation and Therapy,23
"(2015, 2018]",GRINS - Grup de Recerca en Robotica Intel?ligent i Sistemes,23
"(2015, 2018]",GINEMQUAL - Gestio Integrada de Nematodes Fitoparasits i dels Efectes sobre el Rendiment i Qualitat de la Collita,23
"(2018, 2021]",GRDU - Grup de recerca en Direccio Universitaria,23
"(2009, 2012]",BIT - Barcelona Innovative Transportation,23
"(2009, 2012]",GRO - Grup de Recerca en Organitzacio,23
"(2009, 2012]",EScGD - Engineering Sciences and Global Development,22
"(2018, 2021]",CGA - Computational Geometry and Applications,22
"(2018, 2021]",MATCAR - Materials de Construccio i Carreteres,22
"(2012, 2015]",CIRCUIT - Grup de Recerca en Circuits i Sistemes de Comunicacio,22
"(2018, 2021]",GAECE - Grup d'Accionaments Electrics amb Commutacio Electronica,22
"(2009, 2012]",SEER - Sistemes Electrics d'Energia Renovable,22
"(2018, 2021]",MECMAT - Mecanica de Materials,22
"(2018, 2021]",SIR - Service and Industrial Robotics,22
"(2009, 2012]","GIOPACT - Grup de Recerca d'Igualtat d'Oportunitats per a l'Arquitectura, la Ciencia i la Tecnologia",22
"(2009, 2012]",B2SLab - Bioinformatics and Biomedical Signals Laboratory,22
"(2009, 2012]",SISCOM - Smart Services for Information Systems and Communication Networks,22
"(2009, 2012]",SCL-EG - Sistemes de Control Lineals: estudi Geometric,22
"(2018, 2021]",GILDA - Grup per a la Innovacio i la Logistica Docent en Arquitectura,22
"(2015, 2018]","AR.I.EN - Arquitectura, Industria i Enginyeria",22
"(2018, 2021]","ADR&M - Arquitectura, Disseny: Representacio i Modelatge",22
"(2015, 2018]",CERTEC - Centre d'Estudis del Risc Tecnologic,22
"(2018, 2021]",GNOM - Grup d'Optimitzacio Numerica i Modelitzacio,22
"(2015, 2018]",CEMAD - Caracteritzacio Electrica de Materials i Dispositius,22
"(2012, 2015]",UMA - Unitat de Mecanitzacio Agraria,22
"(2009, 2012]",HIPICS - Grup de Circuits i Sistemes Integrats d'Altes Prestacions,22
"(2012, 2015]",ICARUS - Intelligent Communications and Avionics for Robust Unmanned Aerial Systems,22
"(2009, 2012]",SUMMLab - Sustainability Measurement and Modeling Lab,22
"(2012, 2015]",GREC - Grup de Recerca en Enginyeria del Coneixement,22
"(2012, 2015]",GRO - Grup de Recerca en Organitzacio,22
"(2018, 2021]","ViRVIG - Grup de Recerca en Visualitzacio, Realitat Virtual i Interaccio Grafica",22
"(2015, 2018]",CRESCA - Centre de Recerca en Seguretat i Control Alimentari,22
"(2012, 2015]",QSE - Qualitat del Subministrament Electric,22
"(2012, 2015]",MECMAT - Mecanica de Materials,22
"(2015, 2018]",SISCOM - Smart Services for Information Systems and Communication Networks,22
"(2009, 2012]",CEMAD - Caracteritzacio Electrica de Materials i Dispositius,21
"(2012, 2015]",TUAREG - Turbulence and Aerodynamics in Mechanical and Aerospace Engineering Research Group,21
"(2012, 2015]",SUMMLab - Sustainability Measurement and Modeling Lab,21
"(2009, 2012]",OPE-PROTHIUS - Organitzacio de la Produccio en Tallers Hibrids,21
"(2012, 2015]",CREDA - Centre de Recerca en Economia i Desenvolupament Agroalimentari,21
"(2018, 2021]",CEPIMA - Center for Process and Environment Engineering,21
"(2018, 2021]",EnGeoModels - Monitoring and Modelling in Engineering Geology,21
"(2009, 2012]",SOCO - Soft Computing,21
"(2009, 2012]",LAB - Laboratori d'Aplicacions Bioacustiques,21
"(2012, 2015]",GILDA - Grup per a la Innovacio i la Logistica Docent en Arquitectura,21
"(2015, 2018]",gAGE - Grup d'Astronomia i Geomatica,21
"(2012, 2015]",SIR - Service and Industrial Robotics,20
"(2015, 2018]",HABITAR - Grupo de Investigacion,20
"(2015, 2018]",REMM - Recerca en Estructures i Mecanica de Materials,20
"(2018, 2021]",CEMAD - Caracteritzacio Electrica de Materials i Dispositius,20
"(2012, 2015]",BIOART - BIOsignal Analysis for Rehabilitation and Therapy,20
"(2012, 2015]",WNG - Grup de xarxes sense fils,20
"(2009, 2012]","inSSIDE - integrated Software, Service, Information and Data Engineering",20
"(2012, 2015]",SOCO - Soft Computing,20
"(2009, 2012]",GIE - Grup d'Informatica a l'Enginyeria,20
"(2015, 2018]",BAMPLA - Disseny i Avaluacio de Xarxes i Serveis de Banda Ampla,20
"(2009, 2012]",GRHCT - Grup de Recerca d'Historia de la Ciencia i de la Tecnica,20
"(2009, 2012]","GRUP ISI - Grup d'Instrumentacio, Sensors i Interficies",20
"(2009, 2012]",WNG - Grup de xarxes sense fils,19
"(2012, 2015]",EScGD - Engineering Sciences and Global Development,19
"(2012, 2015]",GPI - Grup de Processament d'Imatge i Video,19
"(2018, 2021]",EGEO - Enginyeria Geomatica,19
"(2018, 2021]",CDEI-DM - Centre de Disseny d'Equips Industrials-Dinamica de Maquines,19
"(2009, 2012]",CERCLE - Cercle d'Arquitectura,19
"(2009, 2012]","VOS - Visio, Optometria i Salut",19
"(2009, 2012]",KRD - Cinematica i Disseny de Robots,19
"(2015, 2018]",GRDU - Grup de recerca en Direccio Universitaria,19
"(2015, 2018]",HIPICS - Grup de Circuits i Sistemes Integrats d'Altes Prestacions,19
"(2018, 2021]",LUB - Laboratori d'Urbanisme de Barcelona,19
"(2012, 2015]",CREMIT - Centre de Recerca de Motors i Instal?lacions Termiques,19
"(2009, 2012]",GAECE - Grup d'Accionaments Electrics amb Commutacio Electronica,19
"(2018, 2021]",GIES - Geofisica i Enginyeria Sismica,19
"(2012, 2015]",CPSV - Centre de Politica de Sol i Valoracions,19
"(2015, 2018]",CSC - Components and Systems for Communications Research Group,19
"(2009, 2012]",GPLN - Grup de Processament del Llenguatge Natural,19
"(2015, 2018]",EScGD - Engineering Sciences and Global Development,18
"(2012, 2015]","AIEM - Arquitectura, energia i medi ambient",18
"(2012, 2015]",DISEN - Distributed Sensor Networks,18
"(2015, 2018]",RFEMC - Grup de Radiofrequencia i Compatibilitat Electromagnetica en Xarxes de Comunicacions,18
"(2015, 2018]",GILDA - Grup per a la Innovacio i la Logistica Docent en Arquitectura,18
"(2015, 2018]",INSIDE - Innovacio en Sistemes per al Disseny i la Formacio a l'Enginyeria,18
"(2012, 2015]",GINEMQUAL - Gestio Integrada de Nematodes Fitoparasits i dels Efectes sobre el Rendiment i Qualitat de la Collita,18
"(2012, 2015]",LEAM - Laboratori d'Enginyeria Acustica i Mecanica,18
"(2015, 2018]",LRG - Lightning Research Group,18
"(2015, 2018]",EnGeoModels - Monitoring and Modelling in Engineering Geology,18
"(2012, 2015]","RF&MW - Grup de Recerca de sistemes, dispositius i materials de RF i microones",18
"(2015, 2018]",MATCAR - Materials de Construccio i Carreteres,18
"(2012, 2015]",POLQUITEX - Materials Polimerics i Quimica Textil,18
"(2009, 2012]",TRANSMAR - Grup de recerca de transport maritim i logistica portuaria,18
"(2009, 2012]",TECNOFAB - Grup de Recerca en Tecnologies de Fabricacio,18
"(2018, 2021]","STH - Sostenibilitat, Tecnologia i Humanisme",18
"(2018, 2021]",CIRCUIT - Grup de Recerca en Circuits i Sistemes de Comunicacio,18
"(2018, 2021]",e-CAT - Circuits i Transductors Electronics,18
"(2018, 2021]",LAM - Laboratori d'Aplicacions Multimedia i TIC,18
"(2018, 2021]",SARTI-MAR - Sistemes d'Adquisicio Remota de dades i Tractament de la Informacio en el Medi Mari,18
"(2012, 2015]",CRESCA - Centre de Recerca en Seguretat i Control Alimentari,18
"(2012, 2015]",KRD - Cinematica i Disseny de Robots,18
"(2012, 2015]","GIOPACT - Grup de Recerca d'Igualtat d'Oportunitats per a l'Arquitectura, la Ciencia i la Tecnologia",18
"(2015, 2018]",OPE-PROTHIUS - Organitzacio de la Produccio en Tallers Hibrids,17
"(2018, 2021]",ISSET - Integrated Smart Sensors and Health Technologies,17
"(2009, 2012]",LEAM - Laboratori d'Enginyeria Acustica i Mecanica,17
"(2012, 2015]",MATCAR - Materials de Construccio i Carreteres,17
"(2009, 2012]",WiComTec - Grup de recerca en Tecnologies i Comunicacions Sense Fils,17
"(2012, 2015]",CRAAX - Centre de Recerca d'Arquitectures Avancades de Xarxes,17
"(2018, 2021]",CREMIT - Centre de Recerca de Motors i Instal?lacions Termiques,17
"(2018, 2021]",QSE - Qualitat del Subministrament Electric,17
"(2015, 2018]",GRCM - Grup de Recerca en Comunicacions Mobils,17
"(2009, 2012]",ISSET - Integrated Smart Sensors and Health Technologies,17
"(2009, 2012]",GRDU - Grup de recerca en Direccio Universitaria,17
"(2018, 2021]",SCL-EG - Sistemes de Control Lineals: estudi Geometric,17
"(2009, 2012]",GIES - Geofisica i Enginyeria Sismica,17
"(2012, 2015]","GRUP ISI - Grup d'Instrumentacio, Sensors i Interficies",17
"(2015, 2018]",FORM+ - Grup de recerca FORM+,17
"(2009, 2012]",MECMAT - Mecanica de Materials,17
"(2012, 2015]",SEER - Sistemes Electrics d'Energia Renovable,17
"(2018, 2021]",FORM+ - Grup de recerca FORM+,17
"(2009, 2012]",GRTJ - Grup de Recerca en Teoria de Jocs,17
"(2018, 2021]",HIPICS - Grup de Circuits i Sistemes Integrats d'Altes Prestacions,17
"(2018, 2021]",BIOMEC - Biomechanical Engineering Lab,17
"(2018, 2021]",EScGD - Engineering Sciences and Global Development,17
"(2009, 2012]",CRAHI - Centre de Recerca Aplicada en Hidrometeorologia,17
"(2018, 2021]",InSup - Grup de Recerca en Interaccio de Superficies en Bioenginyeria i Ciencia dels Materials,17
"(2009, 2012]",CIRCUIT - Grup de Recerca en Circuits i Sistemes de Comunicacio,17
"(2015, 2018]","STH - Sostenibilitat, Tecnologia i Humanisme",17
"(2012, 2015]","VOS - Visio, Optometria i Salut",17
"(2012, 2015]",SEPIC - Sistemes Electronics de Potencia i de Control,17
"(2018, 2021]",CELBIOTECH - Grup de Recerca: Enginyeria Paperera,16
"(2015, 2018]",VIRTUOS - Virtualisation and Operating Systems,16
"(2009, 2012]",FORM+ - Grup de recerca FORM+,16
"(2018, 2021]",DCG - Discrete and Combinatorial Geometry,16
"(2015, 2018]",UMA - Unitat de Mecanitzacio Agraria,16
"(2012, 2015]",MICROTECH LAB - Microtechnology for the Industry,16
"(2015, 2018]",GIES - Geofisica i Enginyeria Sismica,16
"(2015, 2018]",GPLN - Grup de Processament del Llenguatge Natural,16
"(2015, 2018]",CDEI-DM - Centre de Disseny d'Equips Industrials-Dinamica de Maquines,16
"(2009, 2012]",REARQ - Rehabilitacio i Restauracio Arquitectonica,16
"(2015, 2018]",AMPC - Analisi de materials de Patrimoni Cultural,16
"(2012, 2015]","ViRVIG - Grup de Recerca en Visualitzacio, Realitat Virtual i Interaccio Grafica",16
"(2009, 2012]",HABITAR - Grupo de Investigacion,16
"(2018, 2021]",GINEMQUAL - Gestio Integrada de Nematodes Fitoparasits i dels Efectes sobre el Rendiment i Qualitat de la Collita,16
"(2015, 2018]",DCG - Discrete and Combinatorial Geometry,16
"(2009, 2012]",GRIC - Grup de Recerca i Innovacio de la Construccio,16
"(2015, 2018]",BIOGAP - Grup de Tractament Biologic de Contaminants Gasosos i Olors,16
"(2018, 2021]",GREC - Grup de Recerca en Enginyeria del Coneixement,16
"(2015, 2018]",BIOMEC - Biomechanical Engineering Lab,16
"(2012, 2015]",GRDU - Grup de recerca en Direccio Universitaria,16
"(2018, 2021]",HABITAR - Grupo de Investigacion,16
"(2015, 2018]",L'AIRE - Laboratori Aeronautic i Industrial de Recerca i Estudis,16
"(2015, 2018]",LABSON - Laboratori de Sistemes Oleohidraulics i Pneumatics,16
"(2009, 2012]",SEPIC - Sistemes Electronics de Potencia i de Control,16
"(2015, 2018]",LAM - Laboratori d'Aplicacions Multimedia i TIC,16
"(2012, 2015]",MAPTHE - Analisi matricial i Teoria Discreta del Potencial,16
"(2009, 2012]",UMA - Unitat de Mecanitzacio Agraria,16
"(2012, 2015]",LAB - Laboratori d'Aplicacions Bioacustiques,15
"(2018, 2021]",GRCM - Grup de Recerca en Comunicacions Mobils,15
"(2012, 2015]",VIRTUOS - Virtualisation and Operating Systems,15
"(2012, 2015]",GIE - Grup d'Informatica a l'Enginyeria,15
"(2015, 2018]",MICROTECH LAB - Microtechnology for the Industry,15
"(2018, 2021]","QINE - Disseny de Baix Consum, Test, Verificacio i Circuits Integrats de Seguretat",15
"(2009, 2012]","STH - Sostenibilitat, Tecnologia i Humanisme",15
"(2012, 2015]",OPE-PROTHIUS - Organitzacio de la Produccio en Tallers Hibrids,15
"(2009, 2012]",DCG - Discrete and Combinatorial Geometry,15
"(2015, 2018]",CRAAX - Centre de Recerca d'Arquitectures Avancades de Xarxes,15
"(2015, 2018]",CREMIT - Centre de Recerca de Motors i Instal?lacions Termiques,15
"(2018, 2021]",CSC - Components and Systems for Communications Research Group,15
"(2012, 2015]",CDEI-DM - Centre de Disseny d'Equips Industrials-Dinamica de Maquines,15
"(2009, 2012]",EGEO - Enginyeria Geomatica,15
"(2015, 2018]",LiTA - Laboratori d'Innovacio i Tecnologia en l'Arquitectura,15
"(2018, 2021]",LITEM - Laboratori per a la Innovacio Tecnologica d'Estructures i Materials,14
"(2009, 2012]",QSE - Qualitat del Subministrament Electric,14
"(2018, 2021]",BIOGAP - Grup de Tractament Biologic de Contaminants Gasosos i Olors,14
"(2012, 2015]",CERTEC - Centre d'Estudis del Risc Tecnologic,14
"(2018, 2021]",LiTA - Laboratori d'Innovacio i Tecnologia en l'Arquitectura,14
"(2009, 2012]",EnGeoModels - Monitoring and Modelling in Engineering Geology,14
"(2012, 2015]",CEMAD - Caracteritzacio Electrica de Materials i Dispositius,14
"(2012, 2015]",MAK - Matematica Aplicada a la Criptografia,14
"(2012, 2015]",CSC - Components and Systems for Communications Research Group,14
"(2009, 2012]",GINEMQUAL - Gestio Integrada de Nematodes Fitoparasits i dels Efectes sobre el Rendiment i Qualitat de la Collita,14
"(2018, 2021]",CRAAX - Centre de Recerca d'Arquitectures Avancades de Xarxes,14
"(2015, 2018]","VOS - Visio, Optometria i Salut",14
"(2015, 2018]",LITEM - Laboratori per a la Innovacio Tecnologica d'Estructures i Materials,14
"(2015, 2018]","GRUP ISI - Grup d'Instrumentacio, Sensors i Interficies",14
"(2015, 2018]",GREA - Grup de Recerca d'Enginyeria Agro-Ambiental,14
"(2009, 2012]",GReCEF- Grup de Recerca en Ciencia i Enginyeria de Fluids,14
"(2015, 2018]",CIRCUIT - Grup de Recerca en Circuits i Sistemes de Comunicacio,14
"(2015, 2018]",ANTENNALAB - Grup d'Antenes i Sistemes Radio,14
"(2015, 2018]","ACC - Arquitectura, Ciutat i Cultura",14
"(2009, 2012]",BIOSPIN - Biomedical Signal Processing and Interpretation,14
"(2009, 2012]",CDEI-DM - Centre de Disseny d'Equips Industrials-Dinamica de Maquines,14
"(2012, 2015]",InSup - Grup de Recerca en Interaccio de Superficies en Bioenginyeria i Ciencia dels Materials,13
"(2009, 2012]",REMM - Recerca en Estructures i Mecanica de Materials,13
"(2018, 2021]",OPE-PROTHIUS - Organitzacio de la Produccio en Tallers Hibrids,13
"(2009, 2012]",ARCO - Microarquitectura i Compiladors,13
"(2012, 2015]",AMPC - Analisi de materials de Patrimoni Cultural,13
"(2018, 2021]","VOS - Visio, Optometria i Salut",13
"(2015, 2018]","RF&MW - Grup de Recerca de sistemes, dispositius i materials de RF i microones",13
"(2018, 2021]",GREiP - Grup de Recerca d'Edificacio i Patrimoni,13
"(2012, 2015]","MACROM - Cristal?lografia, Estructura i Funcio de Macromolecules Biologiques",13
"(2015, 2018]",GPI - Grup de Processament d'Imatge i Video,13
"(2009, 2012]",CDAL - Centre de Disseny d'Aliatges Lleugers i Tractaments de Superficie,13
"(2015, 2018]",CGA - Computational Geometry and Applications,13
"(2015, 2018]",CELBIOTECH - Grup de Recerca: Enginyeria Paperera,13
"(2015, 2018]",BIOSPIN - Biomedical Signal Processing and Interpretation,13
"(2012, 2015]",REARQ - Rehabilitacio i Restauracio Arquitectonica,13
"(2018, 2021]",AMPC - Analisi de materials de Patrimoni Cultural,13
"(2009, 2012]",L'AIRE - Laboratori Aeronautic i Industrial de Recerca i Estudis,13
"(2012, 2015]",GIES - Geofisica i Enginyeria Sismica,13
"(2018, 2021]",LABSON - Laboratori de Sistemes Oleohidraulics i Pneumatics,13
"(2012, 2015]",L'AIRE - Laboratori Aeronautic i Industrial de Recerca i Estudis,13
"(2018, 2021]",IFLUIDS - Grup de Recerca Barcelona Fluids & Energy Lab,12
"(2018, 2021]","MAPS - Management, Pricing and Services in Next Generation Networks",12
"(2018, 2021]",MAPTHE - Analisi matricial i Teoria Discreta del Potencial,12
"(2018, 2021]",GRINS - Grup de Recerca en Robotica Intel?ligent i Sistemes,12
"(2018, 2021]",KRD - Cinematica i Disseny de Robots,12
"(2018, 2021]",CRAHI - Centre de Recerca Aplicada en Hidrometeorologia,12
"(2009, 2012]",(TIEG) - Terrassa Industrial Electronics Group,12
"(2012, 2015]",TRANSMAR - Grup de recerca de transport maritim i logistica portuaria,12
"(2012, 2015]",CDIF - Centre de Diagnostic Industrial i Fluidodinamica,12
"(2012, 2015]",LAM - Laboratori d'Aplicacions Multimedia i TIC,12
"(2012, 2015]",INSIDE - Innovacio en Sistemes per al Disseny i la Formacio a l'Enginyeria,12
"(2012, 2015]",HABITAR - Grupo de Investigacion,12
"(2009, 2012]",GREC - Grup de Recerca en Enginyeria del Coneixement,12
"(2009, 2012]",ROBiri - Grup de Robotica de l'IRI,12
"(2009, 2012]",DISEN - Distributed Sensor Networks,12
"(2015, 2018]",MAPTHE - Analisi matricial i Teoria Discreta del Potencial,12
"(2009, 2012]",RFEMC - Grup de Radiofrequencia i Compatibilitat Electromagnetica en Xarxes de Comunicacions,12
"(2012, 2015]",LUB - Laboratori d'Urbanisme de Barcelona,12
"(2012, 2015]",EGEO - Enginyeria Geomatica,12
"(2012, 2015]",CGA - Computational Geometry and Applications,12
"(2018, 2021]",LESEC - Laboratori d'Estudis Socials de l'Enginyeria Civil,11
"(2015, 2018]",QSE - Qualitat del Subministrament Electric,11
"(2018, 2021]",ARCO - Microarquitectura i Compiladors,11
"(2009, 2012]",e-CAT - Circuits i Transductors Electronics,11
"(2015, 2018]",InSup - Grup de Recerca en Interaccio de Superficies en Bioenginyeria i Ciencia dels Materials,11
"(2009, 2012]",LITEM - Laboratori per a la Innovacio Tecnologica d'Estructures i Materials,11
"(2015, 2018]","GIOPACT - Grup de Recerca d'Igualtat d'Oportunitats per a l'Arquitectura, la Ciencia i la Tecnologia",11
"(2018, 2021]",VIRTUOS - Virtualisation and Operating Systems,11
"(2009, 2012]",SIR - Service and Industrial Robotics,11
"(2012, 2015]",GPLN - Grup de Processament del Llenguatge Natural,11
"(2015, 2018]",MAK - Matematica Aplicada a la Criptografia,11
"(2012, 2015]",GRINS - Grup de Recerca en Robotica Intel?ligent i Sistemes,11
"(2015, 2018]","EXIT - Enginyeria, Xarxes, Infraestructures, Territori",11
"(2015, 2018]",TRANSMAR - Grup de recerca de transport maritim i logistica portuaria,11
"(2009, 2012]",BIOGAP - Grup de Tractament Biologic de Contaminants Gasosos i Olors,11
"(2009, 2012]",MAPTHE - Analisi matricial i Teoria Discreta del Potencial,11
"(2009, 2012]",GREP - Grup de Recerca en Electronica de Potencia,10
"(2009, 2012]",LOGPROG - Logica i Programacio,10
"(2018, 2021]","GRUP ISI - Grup d'Instrumentacio, Sensors i Interficies",10
"(2009, 2012]",GRPFM - Grup de Recerca en Propietats Fisiques dels Materials,10
"(2009, 2012]",RSP - Grup de Recerca en Salut Publica,10
"(2015, 2018]",GIE - Grup d'Informatica a l'Enginyeria,10
"(2009, 2012]",INSIDE - Innovacio en Sistemes per al Disseny i la Formacio a l'Enginyeria,10
"(2015, 2018]",GRPFM - Grup de Recerca en Propietats Fisiques dels Materials,10
"(2012, 2015]",BIOMEC - Biomechanical Engineering Lab,10
"(2018, 2021]",ANCORA - Analisi i control del ritme cardiac,10
"(2012, 2015]",GRABI - Grup de Recerca Aplicada en Biomecanica de l'Impacte,10
