Publication_year,Research_group_UPC,ID_article
"(2015, 2018]",MSR - Mecanica del Sols i de les Roques,73
"(2009, 2012]",CAP - Grup de Computacio d'Altes Prestacions,73
"(2018, 2021]",CAP - Grup de Computacio d'Altes Prestacions,72
"(2018, 2021]",MCIA - Motion Control and Industrial Applications Research Group,72
"(2012, 2015]",EC - Enginyeria de la Construccio,72
"(2015, 2018]",SD - Sistemes Dinamics de la UPC,72
"(2018, 2021]","DONLL - Dinamica no Lineal, Optica no Lineal i Lasers",71
"(2009, 2012]",FOTONICA - Grup de Recerca de Fotonica,71
"(2015, 2018]",PSEP - Polimers Sintetics: Estructura i Propietats. Polimers Biodegradables,71
"(2009, 2012]",GCM - Grup de Caracteritzacio de Materials,71
"(2018, 2021]",SD - Sistemes Dinamics de la UPC,71
"(2009, 2012]","DONLL - Dinamica no Lineal, Optica no Lineal i Lasers",71
"(2012, 2015]",SAC - Sistemes Avancats de Control,71
"(2015, 2018]",IMP - Information Modeling and Processing,70
"(2015, 2018]","DONLL - Dinamica no Lineal, Optica no Lineal i Lasers",70
"(2009, 2012]",MSR - Mecanica del Sols i de les Roques,69
"(2012, 2015]",SD - Sistemes Dinamics de la UPC,69
"(2018, 2021]",REMM - Recerca en Estructures i Mecanica de Materials,69
"(2012, 2015]",GCM - Grup de Caracteritzacio de Materials,69
"(2018, 2021]",COSDA-UPC - COmpositional and Spatial Data Analysis,68
"(2018, 2021]",GHS - Grup d'Hidrologia Subterrania,68
"(2012, 2015]",SIMCON - First-principles approaches to condensed matter physics: quantum effects and complexity,67
"(2018, 2021]",GRIC - Grup de Recerca i Innovacio de la Construccio,67
"(2012, 2015]",SARTI-MAR - Sistemes d'Adquisicio Remota de dades i Tractament de la Informacio en el Medi Mari,66
"(2018, 2021]",GEOMVAP - Geometria de Varietats i Aplicacions,66
"(2018, 2021]",TECNOFAB - Grup de Recerca en Tecnologies de Fabricacio,65
"(2015, 2018]",MCIA - Motion Control and Industrial Applications Research Group,64
"(2012, 2015]",RMEE - Grup  de Resistencia de Materials i Estructures en l'Enginyeria,64
"(2012, 2015]","GAPCOMB - Geometric, Algebraic and Probabilistic Combinatorics",63
"(2015, 2018]","GAPCOMB - Geometric, Algebraic and Probabilistic Combinatorics",63
"(2009, 2012]","COMBGRAPH - Combinatoria, Teoria de Grafs i Aplicacions",63
"(2009, 2012]",EC - Enginyeria de la Construccio,63
"(2015, 2018]",CITCEA - Centre d'Innovacio Tecnologica en Convertidors Estatics i Accionaments,63
"(2009, 2012]","ALBCOM - Algorismia, Bioinformatica, Complexitat i Metodes Formals",63
"(2009, 2012]",GHS - Grup d'Hidrologia Subterrania,63
"(2012, 2015]",MSR - Mecanica del Sols i de les Roques,62
"(2012, 2015]",ANT - Advanced Nuclear Technologies Research Group,62
"(2012, 2015]","COMBGRAPH - Combinatoria, Teoria de Grafs i Aplicacions",62
"(2012, 2015]",BIOCOM-SC - Grup de Biologia Computacional i Sistemes Complexos,61
"(2015, 2018]",GMNE - Grup de Metodes Numerics en Enginyeria,61
"(2018, 2021]",GEMMA - Grup d'Enginyeria i Microbiologia del Medi Ambient,61
"(2015, 2018]",PROCOMAME - Processos de Conformacio de Materials Metal?lics,61
